ITEM,ITEM_NM,WEEK_NUM,FW_ORDER,PLC_RATIO,FORECAST_INDEX,N_USED,MONTH
DD,데님원피스,37,15,0.23214285714285715,2.25,2,9
DD,데님원피스,38,16,0.5223214285714286,1.7403846153846154,2,9
DD,데님원피스,39,17,0.6428571428571428,1.4681267806267806,2,10
DD,데님원피스,40,18,0.59375,0.9562220187220186,2,10
DD,데님원피스,41,19,0.42410714285714285,0.8477199944305207,2,10
DD,데님원피스,42,20,0.3839285714285714,0.8499271434399954,2,10
DD,데님원피스,43,21,0.35714285714285715,0.8326652386780905,2,10
DD,데님원피스,44,22,0.23660714285714285,0.7510366388767004,2,11
DD,데님원피스,45,23,0.15625,0.5838162623539982,2,11
DD,데님원피스,46,24,0.06696428571428571,0.6963162623539981,2,11
DD,데님원피스,47,25,0.06696428571428571,1.1428571428571428,2,11
DD,데님원피스,48,26,0.13392857142857142,1.0,2,12
DD,데님원피스,49,27,0.0,0.9999999999999999,2,12
DD,데님원피스,50,28,0.03571428571428571,0.4999999999999999,2,12
DD,데님원피스,51,29,0.03571428571428571,2.4375,2,12
DD,데님원피스,52,30,0.13839285714285715,2.4375,2,1
DD,데님원피스,1,31,0.0,3.8750000000000004,1,1
DJ,다운점퍼,37,15,0.13363874405720824,1.3844532155734328,3,9
DJ,다운점퍼,38,16,0.18501658893519693,1.105335132686409,3,9
DJ,다운점퍼,39,17,0.15286386027398394,1.3389473566731203,3,10
DJ,다운점퍼,40,18,0.2760983943762985,1.1875330754481708,3,10
DJ,다운점퍼,41,19,0.25682959011337864,1.2474231896124042,3,10
DJ,다운점퍼,42,20,0.2583416466625916,1.130739295264083,3,10
DJ,다운점퍼,43,21,0.37617646995308496,1.2608506395055634,3,10
DJ,다운점퍼,44,22,0.4967577325473882,1.3642898887797326,3,11
DJ,다운점퍼,45,23,0.6538350809705425,1.2894238418618618,3,11
DJ,다운점퍼,46,24,0.8052122740647331,1.2419742167080392,3,11
DJ,다운점퍼,47,25,0.9486975013290803,1.1083620785494606,3,11
DJ,다운점퍼,48,26,0.8684080228083678,0.9746632820478771,3,12
DJ,다운점퍼,49,27,0.7211482458678317,0.8808880215729974,3,12
DJ,다운점퍼,50,28,0.6467760453524043,0.9154428476748322,3,12
DJ,다운점퍼,51,29,0.659086265729924,0.9389940329959919,3,12
DJ,다운점퍼,52,30,0.5938888903254735,0.8945930541334155,3,1
DJ,다운점퍼,1,31,0.4535332350517855,0.82107885802805,3,1
DJ,다운점퍼,2,32,0.3621420320643789,0.7965310321894492,3,1
DJ,다운점퍼,3,33,0.29964923486062395,0.8186399012721615,3,1
DJ,다운점퍼,4,34,0.24870689276211277,0.8423982941941226,3,1
DJ,다운점퍼,5,35,0.21631674815453936,0.8562765379688918,3,2
DJ,다운점퍼,6,36,0.18799448308660105,0.7708358043156697,3,2
DJ,다운점퍼,7,37,0.10784702398385419,0.8303340997714369,3,2
DJ,다운점퍼,8,38,0.11305179477941142,0.684802565229397,2,2
DJ,다운점퍼,9,39,0.0488921651047977,0.7403682391252648,2,3
DK,진자켓,34,12,0.17692307692307693,3.7391304347826084,2,8
DK,진자켓,35,13,0.6615384615384615,2.2972137962026737,3,9
DK,진자켓,36,14,0.5658119658119658,1.758061966854149,3,9
DK,진자켓,37,15,0.3846153846153846,0.9199156079348434,3,9
DK,진자켓,38,16,0.47103513770180444,1.075676770447694,3,9
DK,진자켓,39,17,0.6229819563152897,1.364334570167685,3,10
DK,진자켓,40,18,0.9629629629629629,1.1177083252508415,3,10
DK,진자켓,41,19,0.4668566001899335,1.117721448954876,3,10
DK,진자켓,42,20,0.6174738841405508,0.7849854927887933,3,10
DK,진자켓,43,21,0.3380816714150048,0.9640179891505894,3,10
DK,진자켓,44,22,0.34548907882241214,0.7560565067241094,3,11
DK,진자켓,45,23,0.24140550807217476,0.81063222161036,3,11
DK,진자켓,46,24,0.17169990503323837,0.8542138065760557,3,11
DK,진자켓,47,25,0.19791073124406458,0.9072904339299587,3,11
DK,진자켓,48,26,0.1698005698005698,0.6702067727707665,3,12
DK,진자켓,49,27,0.0,0.4289827255278311,3,12
DK,진자켓,50,28,0.022222222222222223,1.0,3,12
DK,진자켓,51,29,0.044444444444444446,1.25,3,12
DK,진자켓,52,30,0.022222222222222223,2.5,3,1
DK,진자켓,1,31,0.11111111111111112,1.9666666666666668,3,1
DK,진자켓,2,32,0.044444444444444446,3.1333333333333333,3,1
DK,진자켓,3,33,0.17777777777777778,1.55,3,1
DK,진자켓,4,34,0.044444444444444446,2.472222222222222,3,1
DK,진자켓,5,35,0.14074074074074075,1.585582546108862,3,2
DK,진자켓,6,36,0.1886039886039886,2.253373819163293,3,2
DK,진자켓,7,37,0.13333333333333333,1.340080971659919,1,2
DP,진바지,30,8,0.26001742160278746,2.296466639537928,2,7
DP,진바지,31,9,0.59712133440947,1.5586603001369879,3,8
DP,진바지,32,10,0.49014941239000764,1.4038563289206136,3,8
DP,진바지,33,11,0.536345203645741,0.8674489198520763,3,8
DP,진바지,34,12,0.36860024428677357,1.19141071329771,3,8
DP,진바지,35,13,0.6608041590619987,1.075338901367073,3,9
DP,진바지,36,14,0.4929816766171813,1.2075094370610495,3,9
DP,진바지,37,15,0.5342718594947969,0.9841390902794442,3,9
DP,진바지,38,16,0.5997887097515043,1.0173198259198053,3,9
DP,진바지,39,17,0.5071664327850472,1.0523894341821396,3,10
DP,진바지,40,18,0.6030030587403764,1.0101813395959347,3,10
DP,진바지,41,19,0.6005934687503222,0.9619646214502935,3,10
DP,진바지,42,20,0.4209709789937747,0.9162793775730079,3,10
DP,진바지,43,21,0.44282320893080945,0.8881564706986986,3,10
DP,진바지,44,22,0.4036932673027871,0.9696408387573102,3,11
DP,진바지,45,23,0.3816427769950477,0.8984170694095429,3,11
DP,진바지,46,24,0.3199074035015687,1.0019988973125804,3,11
DP,진바지,47,25,0.39104866143784234,1.0434191714184937,3,11
DP,진바지,48,26,0.41828087167070216,0.9928489451642301,2,12
DP,진바지,49,27,0.28716116458985413,0.8455239934249293,3,12
DP,진바지,50,28,0.22410227422924525,0.9733009460753408,3,12
DP,진바지,51,29,0.3256138337931287,1.1515688144312466,3,12
DP,진바지,52,30,0.39768218159525076,1.1902491501639634,3,1
DP,진바지,1,31,0.35650097161642663,0.9661256863379678,3,1
